ENTREZID,"GENENAME","SYMBOL","ONTOLOGY","GO","CHR"
101488413,"LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.1","LOC101488413","MF","GO:0005524","Ca4"
101488413,"LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.1","LOC101488413","MF","GO:0004672","Ca4"
113786411,"U2 spliceosomal RNA","LOC113786411",NA,NA,"Ca4"
101488744,"LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.1","LOC101488744","MF","GO:0005524","Ca4"
101488744,"LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.1","LOC101488744","MF","GO:0004672","Ca4"
113786226,"uncharacterized mitochondrial protein AtMg00810-like","LOC113786226",NA,NA,"Ca4"
105851896,"uncharacterized LOC105851896","LOC105851896",NA,NA,"Ca4"
101489079,"LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.1","LOC101489079","CC","GO:0016021","Ca4"
101489079,"LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.1","LOC101489079","MF","GO:0005524","Ca4"
101489079,"LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.1","LOC101489079","MF","GO:0004672","Ca4"
101489412,"uncharacterized LOC101489412","LOC101489412",NA,NA,"Ca4"
101505761,"E3 ubiquitin protein ligase DRIP1-like","LOC101505761",NA,NA,"Ca4"
113786301,"uncharacterized mitochondrial protein AtMg00810-like","LOC113786301",NA,NA,"Ca4"
101489732,"probable protein phosphatase 2C 15","LOC101489732","MF","GO:0004722","Ca4"
101490487,"LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.1","LOC101490487","CC","GO:0016021","Ca4"
101490487,"LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.1","LOC101490487","MF","GO:0005524","Ca4"
101490487,"LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.1","LOC101490487","MF","GO:0004672","Ca4"
101505872,"LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.1","LOC101505872",NA,NA,"Ca4"
101506189,"LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.4","LOC101506189",NA,NA,"Ca4"
105851082,"probable leucine-rich repeat receptor-like protein kinase At1g68400","LOC105851082","CC","GO:0016021","Ca4"
105851082,"probable leucine-rich repeat receptor-like protein kinase At1g68400","LOC105851082","MF","GO:0005524","Ca4"
105851082,"probable leucine-rich repeat receptor-like protein kinase At1g68400","LOC105851082","MF","GO:0004672","Ca4"
101490811,"uncharacterized LOC101490811","LOC101490811","CC","GO:0016021","Ca4"
101490811,"uncharacterized LOC101490811","LOC101490811","MF","GO:0008375","Ca4"
101491135,"uncharacterized LOC101491135","LOC101491135","CC","GO:0016021","Ca4"
101491667,"chaperone protein dnaJ 15","LOC101491667",NA,NA,"Ca4"
101491977,"zinc finger protein GIS3","LOC101491977","MF","GO:0003676","Ca4"
113786376,"uncharacterized LOC113786376","LOC113786376",NA,NA,"Ca4"
101492312,"cysteine--tRNA ligase 2, cytoplasmic","LOC101492312","MF","GO:0005524","Ca4"
101492312,"cysteine--tRNA ligase 2, cytoplasmic","LOC101492312","MF","GO:0004817","Ca4"
101492312,"cysteine--tRNA ligase 2, cytoplasmic","LOC101492312","BP","GO:0006423","Ca4"
101492865,"uncharacterized LOC101492865","LOC101492865",NA,NA,"Ca4"
113786189,"uncharacterized LOC113786189","LOC113786189",NA,NA,"Ca4"
101513032,"probable galacturonosyltransferase 6","LOC101513032","CC","GO:0000139","Ca4"
101513032,"probable galacturonosyltransferase 6","LOC101513032","MF","GO:0047262","Ca4"
101513032,"probable galacturonosyltransferase 6","LOC101513032","BP","GO:0071555","Ca4"
101513032,"probable galacturonosyltransferase 6","LOC101513032","BP","GO:0045489","Ca4"
113786234,"uncharacterized LOC113786234","LOC113786234",NA,NA,"Ca4"
101513777,"photosystem II reaction center W protein, chloroplastic-like","LOC101513777","CC","GO:0009507","Ca4"
101513777,"photosystem II reaction center W protein, chloroplastic-like","LOC101513777","CC","GO:0016021","Ca4"
101513777,"photosystem II reaction center W protein, chloroplastic-like","LOC101513777","CC","GO:0009523","Ca4"
101513777,"photosystem II reaction center W protein, chloroplastic-like","LOC101513777","BP","GO:0015979","Ca4"
101514119,"glutathione reductase, chloroplastic/mitochondrial","LOC101514119","CC","GO:0005623","Ca4"
101514119,"glutathione reductase, chloroplastic/mitochondrial","LOC101514119","MF","GO:0009055","Ca4"
101514119,"glutathione reductase, chloroplastic/mitochondrial","LOC101514119","MF","GO:0050660","Ca4"
101514119,"glutathione reductase, chloroplastic/mitochondrial","LOC101514119","MF","GO:0004362","Ca4"
101514119,"glutathione reductase, chloroplastic/mitochondrial","LOC101514119","MF","GO:0050661","Ca4"
101514119,"glutathione reductase, chloroplastic/mitochondrial","LOC101514119","BP","GO:0045454","Ca4"
101514119,"glutathione reductase, chloroplastic/mitochondrial","LOC101514119","BP","GO:0006749","Ca4"
101514669,"F-box/LRR-repeat protein 17","LOC101514669",NA,NA,"Ca4"
101493197,"protein LIFEGUARD 4-like","LOC101493197","CC","GO:0016021","Ca4"
101506517,"uncharacterized LOC101506517","LOC101506517",NA,NA,"Ca4"
101493513,"uncharacterized LOC101493513","LOC101493513",NA,NA,"Ca4"
113786330,"uncharacterized LOC113786330","LOC113786330",NA,NA,"Ca4"
101493829,"glutamine--tRNA ligase","LOC101493829","CC","GO:0005737","Ca4"
101493829,"glutamine--tRNA ligase","LOC101493829","MF","GO:0005524","Ca4"
101493829,"glutamine--tRNA ligase","LOC101493829","MF","GO:0004819","Ca4"
101493829,"glutamine--tRNA ligase","LOC101493829","BP","GO:0006425","Ca4"
101494157,"transcription factor MYB62-like","LOC101494157","MF","GO:0003677","Ca4"
101494464,"glycerol uptake protein 2-like","LOC101494464",NA,NA,"Ca4"
101495224,"endonuclease 2","LOC101495224","MF","GO:0004519","Ca4"
101495224,"endonuclease 2","LOC101495224","MF","GO:0003676","Ca4"
101495224,"endonuclease 2","LOC101495224","BP","GO:0006308","Ca4"
101495542,"uncharacterized LOC101495542","LOC101495542",NA,NA,"Ca4"
101495872,"VQ motif-containing protein 8, chloroplastic","LOC101495872",NA,NA,"Ca4"
101496203,"adenylate isopentenyltransferase","LOC101496203","MF","GO:0016740","Ca4"
101496203,"adenylate isopentenyltransferase","LOC101496203","BP","GO:0008033","Ca4"
101496529,"caffeoylshikimate esterase-like","LOC101496529",NA,NA,"Ca4"
101496860,"IST1 homolog","LOC101496860","BP","GO:0015031","Ca4"
101497400,"zinc finger protein JAGGED","LOC101497400","MF","GO:0003676","Ca4"
101497400,"zinc finger protein JAGGED","LOC101497400","BP","GO:0007275","Ca4"
101497733,"IST1 homolog","LOC101497733","BP","GO:0015031","Ca4"
101507502,"zinc finger protein JAGGED-like","LOC101507502","MF","GO:0003676","Ca4"
101507502,"zinc finger protein JAGGED-like","LOC101507502","BP","GO:0007275","Ca4"
101498060,"50S ribosomal protein L15, chloroplastic","LOC101498060","CC","GO:0015934","Ca4"
101498060,"50S ribosomal protein L15, chloroplastic","LOC101498060","MF","GO:0003735","Ca4"
101498060,"50S ribosomal protein L15, chloroplastic","LOC101498060","BP","GO:0006412","Ca4"
101498397,"uncharacterized LOC101498397","LOC101498397",NA,NA,"Ca4"
101514996,"auxin-induced protein 22D-like","LOC101514996","CC","GO:0005634","Ca4"
101514996,"auxin-induced protein 22D-like","LOC101514996","BP","GO:0009734","Ca4"
101514996,"auxin-induced protein 22D-like","LOC101514996","BP","GO:0006355","Ca4"
101498936,"uncharacterized LOC101498936","LOC101498936",NA,NA,"Ca4"
101499577,"LOB domain-containing protein 42","LOC101499577",NA,NA,"Ca4"
101515534,"protein OSB2, chloroplastic-like","LOC101515534","MF","GO:0003697","Ca4"
101515534,"protein OSB2, chloroplastic-like","LOC101515534","BP","GO:0006260","Ca4"
101499877,"zinc finger protein CONSTANS-LIKE 16","LOC101499877","CC","GO:0005634","Ca4"
101499877,"zinc finger protein CONSTANS-LIKE 16","LOC101499877","MF","GO:0008270","Ca4"
105851897,"uncharacterized LOC105851897","LOC105851897",NA,NA,"Ca4"
101500215,"3-ketoacyl-CoA synthase 6","LOC101500215","CC","GO:0016021","Ca4"
101500215,"3-ketoacyl-CoA synthase 6","LOC101500215","MF","GO:0016747","Ca4"
101500215,"3-ketoacyl-CoA synthase 6","LOC101500215","BP","GO:0006633","Ca4"
105851898,"uncharacterized LOC105851898","LOC105851898",NA,NA,"Ca4"
101488285,"transcription factor UNE12-like","LOC101488285","MF","GO:0046983","Ca4"
101500525,"ethylene-responsive transcription factor ERF118","LOC101500525","CC","GO:0005634","Ca4"
101500525,"ethylene-responsive transcription factor ERF118","LOC101500525","MF","GO:0003677","Ca4"
101500525,"ethylene-responsive transcription factor ERF118","LOC101500525","MF","GO:0003700","Ca4"
101488851,"uncharacterized LOC101488851","LOC101488851",NA,NA,"Ca4"
105851909,"uncharacterized LOC105851909","LOC105851909","MF","GO:0008270","Ca4"
101497402,"pre-mRNA-splicing factor syf2","LOC101497402",NA,NA,"Ca4"
101497735,"uncharacterized LOC101497735","LOC101497735",NA,NA,"Ca4"
101489506,"histone H2A variant 1","LOC101489506","CC","GO:0000786","Ca4"
101489506,"histone H2A variant 1","LOC101489506","CC","GO:0005634","Ca4"
101489506,"histone H2A variant 1","LOC101489506","MF","GO:0003677","Ca4"
101489506,"histone H2A variant 1","LOC101489506","MF","GO:0046982","Ca4"
101511659,"probable ubiquitin-conjugating enzyme E2 23","LOC101511659",NA,NA,"Ca4"
101498268,"transcription factor ABORTED MICROSPORES","LOC101498268","MF","GO:0046983","Ca4"
101498937,"uncharacterized LOC101498937","LOC101498937",NA,NA,"Ca4"
101489176,"beta-carotene isomerase D27, chloroplastic-like","LOC101489176","MF","GO:0016853","Ca4"
113786401,"small nucleolar RNA SNORD36","LOC113786401",NA,NA,"Ca4"
101499161,"mavicyanin-like","LOC101499161","MF","GO:0009055","Ca4"
101499482,"probable ubiquitin-conjugating enzyme E2 23","LOC101499482",NA,NA,"Ca4"
101500216,"monooxygenase 2-like","LOC101500216","MF","GO:0071949","Ca4"
101500216,"monooxygenase 2-like","LOC101500216","MF","GO:0004497","Ca4"
101500527,"monooxygenase 2-like","LOC101500527","MF","GO:0071949","Ca4"
101500527,"monooxygenase 2-like","LOC101500527","MF","GO:0004497","Ca4"
101500845,"monooxygenase 2-like","LOC101500845","MF","GO:0071949","Ca4"
101500845,"monooxygenase 2-like","LOC101500845","MF","GO:0004497","Ca4"
101501488,"RNA-binding protein 39","LOC101501488","CC","GO:0005634","Ca4"
101501488,"RNA-binding protein 39","LOC101501488","MF","GO:0003723","Ca4"
101501488,"RNA-binding protein 39","LOC101501488","BP","GO:0006397","Ca4"
101501802,"translation initiation factor IF3-1, mitochondrial","LOC101501802","MF","GO:0003743","Ca4"
101496204,"putative Myb family transcription factor At1g14600","LOC101496204","CC","GO:0005634","Ca4"
101496204,"putative Myb family transcription factor At1g14600","LOC101496204","MF","GO:0003677","Ca4"
101495873,"uncharacterized LOC101495873","LOC101495873","MF","GO:0003723","Ca4"
101495873,"uncharacterized LOC101495873","LOC101495873","BP","GO:0006400","Ca4"
101495225,"mitochondrial pyruvate carrier 1","LOC101495225","CC","GO:0005743","Ca4"
101495225,"mitochondrial pyruvate carrier 1","LOC101495225","BP","GO:0006850","Ca4"
113786442,"transfer RNA alanine (anticodon UGC)","TRNAA-UGC",NA,NA,"Ca4"
101495543,"UPF0307 protein PMI3641","LOC101495543",NA,NA,"Ca4"
101494897,"protein transport protein Sec24-like At4g32640","LOC101494897","CC","GO:0030127","Ca4"
101494897,"protein transport protein Sec24-like At4g32640","LOC101494897","MF","GO:0008270","Ca4"
101494897,"protein transport protein Sec24-like At4g32640","LOC101494897","BP","GO:0006888","Ca4"
101494897,"protein transport protein Sec24-like At4g32640","LOC101494897","BP","GO:0006886","Ca4"
101494583,"uncharacterized protein At4g15970","LOC101494583","CC","GO:0000139","Ca4"
101494583,"uncharacterized protein At4g15970","LOC101494583","MF","GO:0016757","Ca4"
101494583,"uncharacterized protein At4g15970","LOC101494583","BP","GO:0071555","Ca4"
101489823,"uncharacterized LOC101489823","LOC101489823","BP","GO:0051513","Ca4"
101494060,"protein ACCUMULATION AND REPLICATION OF CHLOROPLASTS 3","LOC101494060","MF","GO:0003924","Ca4"
101493740,"protein indeterminate-domain 5, chloroplastic","LOC101493740","MF","GO:0046872","Ca4"
101493740,"protein indeterminate-domain 5, chloroplastic","LOC101493740","MF","GO:0003676","Ca4"
101497721,"protein SLOW GREEN 1, chloroplastic-like","LOC101497721",NA,NA,"Ca4"
101493198,"proteasome subunit alpha type-5","LOC101493198","CC","GO:0005737","Ca4"
101493198,"proteasome subunit alpha type-5","LOC101493198","CC","GO:0005634","Ca4"
101493198,"proteasome subunit alpha type-5","LOC101493198","CC","GO:0019773","Ca4"
101493198,"proteasome subunit alpha type-5","LOC101493198","MF","GO:0004298","Ca4"
101493198,"proteasome subunit alpha type-5","LOC101493198","BP","GO:0043161","Ca4"
101492866,"pentatricopeptide repeat-containing protein At2g35130","LOC101492866",NA,NA,"Ca4"
101491864,"diphosphomevalonate decarboxylase MVD2, peroxisomal","LOC101491864","CC","GO:0005829","Ca4"
101491864,"diphosphomevalonate decarboxylase MVD2, peroxisomal","LOC101491864","MF","GO:0005524","Ca4"
101491864,"diphosphomevalonate decarboxylase MVD2, peroxisomal","LOC101491864","MF","GO:0004163","Ca4"
101491864,"diphosphomevalonate decarboxylase MVD2, peroxisomal","LOC101491864","BP","GO:0019287","Ca4"
101491864,"diphosphomevalonate decarboxylase MVD2, peroxisomal","LOC101491864","BP","GO:0016126","Ca4"
101492200,"protein trichome birefringence-like 36","LOC101492200",NA,NA,"Ca4"
101492536,"germin-like protein subfamily 3 member 2","LOC101492536","CC","GO:0048046","Ca4"
101492536,"germin-like protein subfamily 3 member 2","LOC101492536","CC","GO:0005618","Ca4"
101492536,"germin-like protein subfamily 3 member 2","LOC101492536","MF","GO:0030145","Ca4"
101492536,"germin-like protein subfamily 3 member 2","LOC101492536","MF","GO:0045735","Ca4"
101491556,"uncharacterized LOC101491556","LOC101491556",NA,NA,"Ca4"
101491233,"ACT domain-containing protein ACR12","LOC101491233",NA,NA,"Ca4"
101490916,"transmembrane protein 45A-like","LOC101490916","CC","GO:0016021","Ca4"
101490591,"tubulin-folding cofactor D","LOC101490591","MF","GO:0048487","Ca4"
101490591,"tubulin-folding cofactor D","LOC101490591","MF","GO:0005096","Ca4"
101490591,"tubulin-folding cofactor D","LOC101490591","BP","GO:0007023","Ca4"
101490591,"tubulin-folding cofactor D","LOC101490591","BP","GO:0007021","Ca4"
101490047,"uncharacterized protein YnbD-like","LOC101490047","CC","GO:0016021","Ca4"
101490047,"uncharacterized protein YnbD-like","LOC101490047","MF","GO:0008138","Ca4"
101489519,"ferredoxin, root R-B1-like","LOC101489519","CC","GO:0009507","Ca4"
101489519,"ferredoxin, root R-B1-like","LOC101489519","MF","GO:0051537","Ca4"
101489519,"ferredoxin, root R-B1-like","LOC101489519","MF","GO:0009055","Ca4"
101489519,"ferredoxin, root R-B1-like","LOC101489519","MF","GO:0046872","Ca4"
101489189,"replication protein A 14 kDa subunit B-like","LOC101489189","CC","GO:0005634","Ca4"
101489189,"replication protein A 14 kDa subunit B-like","LOC101489189","MF","GO:0003677","Ca4"
101489189,"replication protein A 14 kDa subunit B-like","LOC101489189","BP","GO:0006310","Ca4"
101489189,"replication protein A 14 kDa subunit B-like","LOC101489189","BP","GO:0006281","Ca4"
101489189,"replication protein A 14 kDa subunit B-like","LOC101489189","BP","GO:0006260","Ca4"
101488864,"uncharacterized LOC101488864","LOC101488864","CC","GO:0016021","Ca4"
101488302,"ribonuclease H2 subunit A","LOC101488302","MF","GO:0003723","Ca4"
101488302,"ribonuclease H2 subunit A","LOC101488302","MF","GO:0004523","Ca4"
101515547,"40S ribosomal protein S27-2","LOC101515547","CC","GO:0005840","Ca4"
101515547,"40S ribosomal protein S27-2","LOC101515547","MF","GO:0046872","Ca4"
101515547,"40S ribosomal protein S27-2","LOC101515547","MF","GO:0003735","Ca4"
101515547,"40S ribosomal protein S27-2","LOC101515547","BP","GO:0006412","Ca4"
101515224,"uncharacterized LOC101515224","LOC101515224",NA,NA,"Ca4"
101514682,"coatomer subunit delta-like","LOC101514682","CC","GO:0030126","Ca4"
101514682,"coatomer subunit delta-like","LOC101514682","CC","GO:0000139","Ca4"
101514682,"coatomer subunit delta-like","LOC101514682","BP","GO:0015031","Ca4"
101514682,"coatomer subunit delta-like","LOC101514682","BP","GO:0006890","Ca4"
101514354,"coatomer subunit delta-like","LOC101514354","CC","GO:0030126","Ca4"
101514354,"coatomer subunit delta-like","LOC101514354","CC","GO:0000139","Ca4"
101514354,"coatomer subunit delta-like","LOC101514354","BP","GO:0015031","Ca4"
101514354,"coatomer subunit delta-like","LOC101514354","BP","GO:0006890","Ca4"
101514023,"vesicle-associated membrane protein 727","LOC101514023","CC","GO:0016021","Ca4"
101514023,"vesicle-associated membrane protein 727","LOC101514023","BP","GO:0016192","Ca4"
101513688,"omega-6 fatty acid desaturase, endoplasmic reticulum isozyme 1-like","LOC101513688","CC","GO:0016021","Ca4"
101513688,"omega-6 fatty acid desaturase, endoplasmic reticulum isozyme 1-like","LOC101513688","BP","GO:0006629","Ca4"
101513156,"uncharacterized protein At2g38710","LOC101513156",NA,NA,"Ca4"
101512302,"uncharacterized protein At2g27730, mitochondrial","LOC101512302",NA,NA,"Ca4"
101490148,"guanine nucleotide-binding protein subunit gamma 2","LOC101490148","BP","GO:0007186","Ca4"
101511974,"transcription factor SRM1","LOC101511974","CC","GO:0005634","Ca4"
101511974,"transcription factor SRM1","LOC101511974","MF","GO:0003677","Ca4"
101511650,"cationic amino acid transporter 7, chloroplastic","LOC101511650","CC","GO:0016021","Ca4"
101511650,"cationic amino acid transporter 7, chloroplastic","LOC101511650","MF","GO:0022857","Ca4"
101511324,"pentatricopeptide repeat-containing protein At5g04780, mitochondrial","LOC101511324","MF","GO:0008270","Ca4"
101511018,"uncharacterized LOC101511018","LOC101511018",NA,NA,"Ca4"
101490902,"2-methyl-6-phytyl-1,4-hydroquinone methyltransferase, chloroplastic","LOC101490902","CC","GO:0016021","Ca4"
101490902,"2-methyl-6-phytyl-1,4-hydroquinone methyltransferase, chloroplastic","LOC101490902","MF","GO:0008168","Ca4"
101490902,"2-methyl-6-phytyl-1,4-hydroquinone methyltransferase, chloroplastic","LOC101490902","BP","GO:0032259","Ca4"
101510698,"transcription repressor OFP13","LOC101510698","BP","GO:0045892","Ca4"
113786369,"protein MAIN-LIKE 1-like","LOC113786369",NA,NA,"Ca4"
101509935,"probable pectate lyase 12","LOC101509935","MF","GO:0046872","Ca4"
101509935,"probable pectate lyase 12","LOC101509935","MF","GO:0030570","Ca4"
101509935,"probable pectate lyase 12","LOC101509935","BP","GO:0045490","Ca4"
101509603,"serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' beta isoform-like","LOC101509603","CC","GO:0000159","Ca4"
101509603,"serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' beta isoform-like","LOC101509603","MF","GO:0019888","Ca4"
101509603,"serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' beta isoform-like","LOC101509603","BP","GO:0007165","Ca4"
101509290,"protein RNA-directed DNA methylation 3","LOC101509290","BP","GO:0032784","Ca4"
101509290,"protein RNA-directed DNA methylation 3","LOC101509290","BP","GO:0006357","Ca4"
101508976,"protein NUCLEAR FUSION DEFECTIVE 4-like","LOC101508976","CC","GO:0016021","Ca4"
101491221,"calmodulin-like protein 11","LOC101491221","MF","GO:0005509","Ca4"
101508657,"uncharacterized LOC101508657","LOC101508657","CC","GO:0016021","Ca4"
101508129,"40S ribosomal protein S3-2-like","LOC101508129","CC","GO:0015935","Ca4"
101508129,"40S ribosomal protein S3-2-like","LOC101508129","MF","GO:0003723","Ca4"
101508129,"40S ribosomal protein S3-2-like","LOC101508129","MF","GO:0003735","Ca4"
101508129,"40S ribosomal protein S3-2-like","LOC101508129","BP","GO:0006412","Ca4"
113786304,"uncharacterized LOC113786304","LOC113786304",NA,NA,"Ca4"
101507592,"glycine-rich RNA-binding protein RZ1B","LOC101507592","MF","GO:0003723","Ca4"
101507592,"glycine-rich RNA-binding protein RZ1B","LOC101507592","MF","GO:0008270","Ca4"
101507283,"uncharacterized protein ycf45","LOC101507283","MF","GO:0005524","Ca4"
101506736,"GDT1-like protein 5","LOC101506736","CC","GO:0016021","Ca4"
101491848,"pentatricopeptide repeat-containing protein At3g63370, chloroplastic","LOC101491848","MF","GO:0008270","Ca4"
101506410,"protein ASPARTIC PROTEASE IN GUARD CELL 1","LOC101506410","MF","GO:0004190","Ca4"
101491542,"uncharacterized LOC101491542","LOC101491542","BP","GO:0006360","Ca4"
101506087,"CTL-like protein DDB_G0274487","LOC101506087","CC","GO:0016021","Ca4"
101505539,"transcription factor TGA2.3-like","LOC101505539","MF","GO:0003700","Ca4"
101505539,"transcription factor TGA2.3-like","LOC101505539","MF","GO:0043565","Ca4"
101505539,"transcription factor TGA2.3-like","LOC101505539","BP","GO:0006351","Ca4"
101505214,"uncharacterized LOC101505214","LOC101505214",NA,NA,"Ca4"
101504911,"probable carboxylesterase 17","LOC101504911","MF","GO:0016787","Ca4"
105851894,"uncharacterized LOC105851894","LOC105851894",NA,NA,"Ca4"
101504161,"serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform","LOC101504161",NA,NA,"Ca4"
101503847,"aluminum-activated malate transporter 4","LOC101503847","CC","GO:0016021","Ca4"
101503847,"aluminum-activated malate transporter 4","LOC101503847","BP","GO:0015743","Ca4"
101503511,"cytochrome P450 CYP73A100-like","LOC101503511","CC","GO:0016021","Ca4"
101503511,"cytochrome P450 CYP73A100-like","LOC101503511","MF","GO:0020037","Ca4"
101503511,"cytochrome P450 CYP73A100-like","LOC101503511","MF","GO:0005506","Ca4"
101503511,"cytochrome P450 CYP73A100-like","LOC101503511","MF","GO:0004497","Ca4"
101503511,"cytochrome P450 CYP73A100-like","LOC101503511","MF","GO:0016705","Ca4"
101503192,"uncharacterized LOC101503192","LOC101503192","BP","GO:0015031","Ca4"
101509399,"serine/threonine-protein kinase prpf4B","LOC101509399",NA,NA,"Ca4"
101502645,"uncharacterized LOC101502645","LOC101502645","MF","GO:0046872","Ca4"
101502645,"uncharacterized LOC101502645","LOC101502645","BP","GO:0030001","Ca4"
101502335,"dihydrolipoyllysine-residue acetyltransferase component 4 of pyruvate dehydrogenase complex, chloroplastic","LOC101502335","MF","GO:0016746","Ca4"
101492182,"protein SPIRRIG","LOC101492182",NA,NA,"Ca4"
101502009,"ACD11 homolog protein","LOC101502009","CC","GO:0005737","Ca4"
101502009,"ACD11 homolog protein","LOC101502009","MF","GO:0120013","Ca4"
101502009,"ACD11 homolog protein","LOC101502009","BP","GO:0120009","Ca4"
101501685,"ubiquitin receptor RAD23c-like","LOC101501685","CC","GO:0005634","Ca4"
101501685,"ubiquitin receptor RAD23c-like","LOC101501685","MF","GO:0003684","Ca4"
101501685,"ubiquitin receptor RAD23c-like","LOC101501685","BP","GO:0006289","Ca4"
101501685,"ubiquitin receptor RAD23c-like","LOC101501685","BP","GO:0043161","Ca4"
101501368,"protein trichome birefringence-like 42","LOC101501368",NA,NA,"Ca4"
101501056,"uncharacterized LOC101501056","LOC101501056",NA,NA,"Ca4"
101496862,"glycerate dehydrogenase","LOC101496862","MF","GO:0051287","Ca4"
101496862,"glycerate dehydrogenase","LOC101496862","MF","GO:0016616","Ca4"
101511326,"pentatricopeptide repeat-containing protein At5g39350","LOC101511326",NA,NA,"Ca4"
101496530,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7","LOC101496530","CC","GO:0005739","Ca4"
101496530,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7","LOC101496530","MF","GO:0008137","Ca4"
101502646,"probable protein phosphatase 2C 79","LOC101502646","MF","GO:0046872","Ca4"
101502646,"probable protein phosphatase 2C 79","LOC101502646","MF","GO:0004722","Ca4"
101502337,"nitrate regulatory gene2 protein-like","LOC101502337","BP","GO:0071249","Ca4"
101503512,"protein CHAPERONE-LIKE PROTEIN OF POR1, chloroplastic","LOC101503512","CC","GO:0016021","Ca4"
101502961,"V-type proton ATPase subunit B 2","LOC101502961","CC","GO:0033180","Ca4"
101502961,"V-type proton ATPase subunit B 2","LOC101502961","MF","GO:0005524","Ca4"
101502961,"V-type proton ATPase subunit B 2","LOC101502961","BP","GO:0046034","Ca4"
101502961,"V-type proton ATPase subunit B 2","LOC101502961","BP","GO:1902600","Ca4"
101503848,"dnaJ homolog subfamily C member 17","LOC101503848","MF","GO:0003676","Ca4"
101504261,"transportin-1","LOC101504261","CC","GO:0005634","Ca4"
101504261,"transportin-1","LOC101504261","MF","GO:0008536","Ca4"
101504261,"transportin-1","LOC101504261","BP","GO:0006606","Ca4"
101504593,"serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' beta isoform-like","LOC101504593","CC","GO:0000159","Ca4"
101504593,"serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' beta isoform-like","LOC101504593","MF","GO:0019888","Ca4"
101504593,"serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' beta isoform-like","LOC101504593","BP","GO:0007165","Ca4"
101505114,"hippocampus abundant transcript-like protein 1","LOC101505114","CC","GO:0016021","Ca4"
101505114,"hippocampus abundant transcript-like protein 1","LOC101505114","BP","GO:0055085","Ca4"
101505438,"uncharacterized LOC101505438","LOC101505438","MF","GO:0008270","Ca4"
101505774,"DDB1- and CUL4-associated factor 8","LOC101505774",NA,NA,"Ca4"
101506627,"pentatricopeptide repeat-containing protein At2g17033","LOC101506627",NA,NA,"Ca4"
101506302,"uncharacterized LOC101506302","LOC101506302","CC","GO:0016021","Ca4"
101512303,"uncharacterized LOC101512303","LOC101512303","CC","GO:0016021","Ca4"
101506961,"uncharacterized LOC101506961","LOC101506961","CC","GO:0016021","Ca4"
101507285,"serine/threonine-protein kinase ATR","LOC101507285","MF","GO:0005524","Ca4"
101507285,"serine/threonine-protein kinase ATR","LOC101507285","MF","GO:0004674","Ca4"
101508226,"mechanosensitive ion channel protein 6-like","LOC101508226","CC","GO:0016021","Ca4"
101508226,"mechanosensitive ion channel protein 6-like","LOC101508226","CC","GO:0005886","Ca4"
101508226,"mechanosensitive ion channel protein 6-like","LOC101508226","BP","GO:0055085","Ca4"
101508977,"mediator of RNA polymerase II transcription subunit 36a-like","LOC101508977","MF","GO:0008168","Ca4"
101508977,"mediator of RNA polymerase II transcription subunit 36a-like","LOC101508977","MF","GO:0003723","Ca4"
101508977,"mediator of RNA polymerase II transcription subunit 36a-like","LOC101508977","BP","GO:0006364","Ca4"
113786424,"small nucleolar RNA snoR60","LOC113786424",NA,NA,"Ca4"
113786423,"small nucleolar RNA snoR60","LOC113786423",NA,NA,"Ca4"
101509291,"serine/threonine-protein kinase STY46","LOC101509291","MF","GO:0005524","Ca4"
101509291,"serine/threonine-protein kinase STY46","LOC101509291","MF","GO:0004672","Ca4"
101509834,"F-box/LRR-repeat protein 10","LOC101509834",NA,NA,"Ca4"
